National metadata,
Indicator available,Renewable electricty Generation
Indicator description,Renewable electricty Generation
National comparability,Comparable across UK local authorities
Unit of measurement,MWh
Definitions,"A megawatt hour (Mwh) is equal to 1,000 Kilowatt hours (Kwh). It is equal to 1,000 kilowatts of electricity used continuously for one hour. It is about equivalent to the amount of electricity used by about 330 homes during one hour."
Calculations,No Calculations
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Renewable electricty Generation
Indicator content,
Sources,
Source 1 organisation,"Department for Business, Energy & Industrial Strategy"
Source 1 periodicity,Annual
Source 1 earliest available data,2014
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.gov.uk/government/statistics/regional-renewable-statistics
Source 1 link to data source text,"Renewable electricity by local authority, 2014 to 2019"
Source 1 release date,24/09/2020
Source 1 next release,30/09/2021
Source 1 statistical classification,National Statistics
Source 1 contact details,renewablesstatistics@beis.gov.uk
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
