National metadata,
Indicator available,"Violence against the person including homicide, violence with injury, violence with injury, stalking and sexual offences"
Indicator description,
National comparability,Comparable across UK local authorities
Unit of measurement,Number of Reported Crime
Definitions,
Calculations,The total figures are calculated as the sum of the relevant crimes.
Other information,"Police recorded crime statistics, like any administrative data, are affected by the rules governing the recording of data, systems in place and operational decisions in respect of the allocation of resources. More proactive policing in a given area could lead to an increase in crimes recorded without any real change in underlying crime trends. These issues need to be taken into account when using these data..  Annual data is calculated by using the rolling 12 months toDecember for the year"
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Number of Violent and Sexual Offences
Indicator content,
Sources,
Source 1 organisation,Office for National Statistics
Source 1 periodicity,Quarterly
Source 1 earliest available data,2007
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/recordedcrimedataatcommunitysafetypartnershiplocalauthoritylevel
Source 1 link to data source text,Rec-Crime-la-file1
Source 1 release date,25/04/2019
Source 1 next release,Discontinued
Source 1 statistical classification,Official
Source 1 contact details,crimestatistics@ons.gov.uk
Source 1 other information,Future data is available at Community Safety Partnership (CSP) area which can be matched to Local Authority areas at the above link
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
