National metadata,
Indicator available,Crime (recorded by Police) by selected offence groups
Indicator description,A yearly snapshot depicting the crime rate in bristol per 1000 persons.
National comparability,Comparable to other Local authorities
Unit of measurement,Per 1000
Definitions,"Burglary and violent & sexual offence incidents against the total number of crimes reported to the police. Provided at ward level and expressed as a rate per 1,000 of the ward population."
Calculations,No additiona calculations have been performed on the data and it is presented as found
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Crime (recorded by Police) by selected offence groups
Indicator content,
Sources,
Source 1 organisation,Bristol City Council
Source 1 periodicity,annual
Source 1 earliest available data,2016/17
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://opendata.bristol.gov.uk/explore/dataset/crime-recorded-by-police-by-selected-offence-groups-in-bristol-by-ward/information/?disjunctive.ward_name&refine.ward_name=Bristol&refine.ward_name=Bishopsworth&sort=year
Source 1 link to data source text,Bristol Open Data
Source 1 release date,19/05/2021
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,https://opendata.bristol.gov.uk/pages/contact/
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 4 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
