National metadata,
Indicator available,Proportion of households that suffered from food insecurity
Indicator description,Percentage of households reporting that they suffered from moderate to severe or severe food insecurity
National comparability,
Unit of measurement,Percentage (%)
Definitions,"The number of respondents who select/tick ""yes"" to at least 4 of the FIES questions(Q18151 to Q18157 inclusive) divided by the number of respondents who select/tick ""yes"" or ""no"" to the eight FIES questions"
Calculations,No calculations were performed in the data acquisition of this indicator as appropriate data was readily available in the final format specified by this indicator.
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage households that experienced food insecurity in bristol
Indicator content,
Sources,
Source 1 organisation,Bristol city council
Source 1 periodicity,Annual
Source 1 earliest available data,2018
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://opendata.bristol.gov.uk/pages/quality_of_life_results_202021/bristol-trend-view
Source 1 link to data source text,Open Data Bristol
Source 1 release date,28/06/2021
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,https://opendata.bristol.gov.uk/pages/contact/
Source 1 other information,Data acquired from the Quality of life survey
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
