National metadata,
Indicator available,"Percentage in employment who are science, research, engineering and technology profesionals and Percentage in employment who are science, engineering and technology associate professionals"
Indicator description,
National comparability,Comparable across UK local authorities
Unit of measurement,Percentage
Definitions,"Data is using Standard Occupation Classification (2010).Science, Research, Engineering and Technology professionals is based on Sub Major Group 21 and Science, Engineering and Technology associate proffesionals on Sub Major Group 31"
Calculations,No Calculations
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage in employment in specific industries
Indicator content,
Sources,
Source 1 organisation,NOMIS
Source 1 periodicity,Annual
Source 1 earliest available data,2004
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.nomisweb.co.uk/query/construct/components/variableComponent.asp?menuopt=7&subcomp=130
Source 1 link to data source text,Annual Population Survey
Source 1 release date,13/10/2020
Source 1 next release,19/01/2021
Source 1 statistical classification,Official
Source 1 contact details,support@nomisweb.co.uk
Source 1 other information,Use Jan 20xx - Dec 20xx as annual figures
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
