National metadata,
Indicator available,Proportion of People who feel safe outdoors after dark
Indicator description,
National comparability,Comparable across UK local authorities
Unit of measurement,Percentage (%)
Definitions,
Calculations,
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Percentage  who feel safe outdoors after dark
Use geocodes for mapping, true
Indicator content,
Sources,
Source 1 organisation,Bristol City Council - Strategic Intelligience
Source 1 periodicity,Annual
Source 1 earliest available data,2015
Source 1 geographical coverage,"Bristol, City of"
Source 1 link to data source,https://opendata.bristol.gov.uk/explore/dataset/quality-of-life-2019-20-citywide-trend/table/?disjunctive.ward_name&static=false&datasetcard=false&q=crime&refine.indicator=%25+who+feel+safe+outdoors+after+dark
Source 1 link to data source text,Quality of Life 2019-20 (citywide trend)
Source 1 release date,"October 30, 2020"
Source 1 next release,TBA
Source 1 statistical classification,Non Official statistic
Source 1 contact details,Bristol City Council - Strategic Intelligence
Source 1 other information,
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
