National metadata,
Indicator available,TB incidence (three year average)
Indicator description,"Average incidence of TB among 100,000 per population over a 3 year period"
National comparability,Comparable to other local authorities
Unit of measurement,"Per 100,000"
Definitions,"Three year average incidence of TB per 100,000 population"
Calculations,No calculations were performed in the data acquisition of this indicator as appropriate data was readily available in the final format specified by this indicator.
Other information,"Three year average incidence per 100,000 population. The numerator (the number of TB notifications in the 3 year period) is divided by the denominator (the sum of the mid-year population estimates for the same 3 year period) and multiplied by 100,000."
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,"Percentage of 4 to 5 year old children classified as underweight, or overweight (including or obese)"
Indicator content,
Sources,
Source 1 organisation,Public Health England
Source 1 periodicity,Annual
Source 1 earliest available data,2000-02
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://fingertips.phe.org.uk/profile/public-health-outcomes-framework/data#page/4/gid/1000044/pat/6/par/E12000009/ati/102/are/E06000023/iid/92488/age/1/sex/4
Source 1 link to data source text,TB Monitoring data
Source 1 release date,03/11/2020
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,
Source 1 other information,"	Every effort is made to ensure accuracy and completeness of ETS data, including web-based reporting, data cleaning and data integrity checks for data quality. However, responsibility for the accuracy and completeness of the data lies with the reporting clinic.
Data for all previous years are updated using the most recent TB notification dataset. This update means that the values for a given area and year may be different (either smaller or larger) when compared to what has been shown on this profile in the past."
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
