National metadata,
Indicator available,"Deaths related to childbirth, pregnancy or puparium"
Indicator description,Deaths catogorised as O0-99 under the ICD-10 system
National comparability,
Unit of measurement,Count
Definitions,Total deaths per year classified under O0-99 under the ICD-10 system in bristol
Calculations,No calculations were performed in the data acquisition of this indicator as appropriate data was readily available in the final format specified by this indicator.
Other information,
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Deaths due to pregnancy or childbirth
Indicator content,
Sources,
Source 1 organisation,Nomis - Office for National Statistics
Source 1 periodicity,Yearly
Source 1 earliest available data,2013
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.nomisweb.co.uk/datasets/mortsa
Source 1 link to data source text,Nomis - Mortality statistics
Source 1 release date,08/07/2021
Source 1 next release,TBD
Source 1 statistical classification,Official Statistic
Source 1 contact details,health.data@ons.gov.uk
Source 1 other information,"Death statistics are compiled from information supplied when deaths are certified and registered as part of civil registration, a legal requirement. Figures represent the number of deaths registered in the calendar year. Figures represent deaths which occurred in England and Wales - these include the deaths of individuals whose usual residence was outside England and Wales."
Source 2 organisation,
Source 2 periodicity,
Source 2 earliest available data,
Source 2 geographical coverage,
Source 2 link to data source,
Source 2 link to data source text,
Source 2 release date,
Source 2 next release,
Source 2 statistical classification,
Source 2 contact details,
Source 2 other information,
Source 3 organisation,
Source 3 periodicity,
Source 3 earliest available data,
Source 3 geographical coverage,
Source 3 link to data source,
Source 3 link to data source text,
Source 3 release date,
Source 3 next release,
Source 3 statistical classification,
Source 3 contact details,
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 3 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
