National metadata,
Indicator available,Children that are developmentally on track and reaching the expected standards for their age.
Indicator description,Percentage of children that are reaching the expected development standards of a 5 year old and for children in key stage 1 and children in key stage 2 reaching the expected standard in reading and math
National comparability,Comparable to other Local authorities
Unit of measurement,%
Definitions,
Calculations,No calculations were performed on the dataset and it is presented as found
Other information,"Any other info on the dataset, e.g. data control applied?"
Settings,
Reporting status,complete
Non-statistical indicator,N
Graph type,line
Graph title,Children reaching the expected standards
Use geocodes for mapping,FALSE
Indicator content,
Sources,
Source 1 organisation,Department for Education
Source 1 periodicity,Annual
Source 1 earliest available data,2011
Source 1 geographical coverage,Bristol
Source 1 link to data source,https://www.gov.uk/government/collections/statistics-key-stage-1
Source 1 link to data source text,Key stage 1
Source 1 release date,30/04/2020
Source 1 next release,TBA
Source 1 statistical classification,Official Statistic
Source 1 contact details,Attainment.STATISTICS@education.gov.uk
Source 1 other information,
Source 2 organisation,Department for Education
Source 2 periodicity,Annual
Source 2 earliest available data,2010
Source 2 geographical coverage,Bristol
Source 2 link to data source,https://www.gov.uk/government/collections/statistics-key-stage-2
Source 2 link to data source text,Key stage 2
Source 2 release date,30/04/2020
Source 2 next release,TBA
Source 2 statistical classification,Official Statistic
Source 2 contact details,Attainment.STATISTICS@education.gov.uk
Source 2 other information,
Source 3 organisation,Department for Education
Source 3 periodicity,Annual
Source 3 earliest available data,2013
Source 3 geographical coverage,Bristol
Source 3 link to data source,https://www.gov.uk/government/collections/statistics-early-years-foundation-stage-profile
Source 3 link to data source text,Early years foundation stage profile
Source 3 release date,05/05/2020
Source 3 next release,TBA
Source 3 statistical classification,Official Statistic
Source 3 contact details,mailbox.dataoutputsunit@education.gsi.gov.uk
Source 3 other information,
Source 4 organisation,
Source 4 periodicity,
Source 4 earliest available data,
Source 4 geographical coverage,
Source 4 link to data source,
Source 4 link to data source text,
Source 4 release date,
Source 4 next release,
Source 4 statistical classification,
Source 4 contact details,
Source 4 other information,
